llm,db,sys,experiment_name,correctness_score,faithfulness_score,latency_ms,retrieval_recall,retrieval_mrr,recall_at_5,precision_at_5,ndcg_at_5,hit_rate_at_5,recall_at_10,precision_at_10,ndcg_at_10,hit_rate_at_10,main_total_tokens,judge_total_tokens,question_count
qwen2.5:32b-instruct-q2_K,jina-embeddings-v3,SysG,SysG_v4_GodMode_qwen2.5:32b-instruct-q2_K_jina-embeddings-v3,0.609,0.8782,4461.043210029602,0.725,0.638853108397355,0.684375,0.14250000000000002,0.8067554567180591,0.6875,0.684375,0.07125000000000001,0.8103687670470328,0.6875,4981.63,535.47,100
gemini-flash-latest,bge-m3,SysA,SysA_Baseline_bge-m3_gemini-flash-latest,0.546,0.7184,2089.8221683502197,0.55,0.5135416666666667,0.546875,0.11500000000000002,0.5501280030733999,0.55,0.546875,0.05750000000000001,0.5501280030733999,0.55,3454.57,529.92,100
gemini-flash-latest,bge-m3,SysC,SysC_Hybrid_FIXED_bge-m3_gemini-flash-latest,0.5479999999999999,0.87,1969.011025428772,0.5375,0.509375,0.540625,0.11750000000000001,0.5464445695605347,0.55,0.540625,0.058750000000000004,0.5508634750664813,0.55,2166.74,511.03,100
gemini-flash-latest,bge-m3,SysD,SysD_v5_FIXED_bge-m3_gemini-flash-latest,0.6,0.853,4442.368755340576,0.5875,0.5510416666666667,0.590625,0.1275,0.6108034734902529,0.6,0.590625,0.06375,0.6152223789961996,0.6,3167.16,490.02,100
gemini-flash-latest,jina-embeddings-v3,SysA,SysA_Baseline_jina-embeddings-v3_gemini-flash-latest,0.635,0.7490000000000001,1985.9680604934692,0.6875,0.634375,0.696875,0.14500000000000002,0.7688108926979091,0.7,0.696875,0.07250000000000001,0.788419644807173,0.7,3476.02,515.98,100
gemini-flash-latest,jina-embeddings-v3,SysC,SysC_Hybrid_FIXED_jina-embeddings-v3_gemini-flash-latest,0.67,0.8859999999999999,2045.6244707107544,0.675,0.6259615384615385,0.675,0.14250000000000002,0.7513924080057375,0.675,0.675,0.07125000000000001,0.7755776978531264,0.675,2212.44,507.6,100
gemini-flash-latest,jina-embeddings-v3,SysD,SysD_v5_FIXED_jina-embeddings-v3_gemini-flash-latest,0.7,0.867,4425.969235897064,0.725,0.6707532051282051,0.725,0.15250000000000002,0.8117821948691064,0.725,0.725,0.07625000000000001,0.8359674847164953,0.725,3273.37,494.48,100
gemini-flash-latest,openai-large,SysA,SysA_Baseline_openai-large_gemini-flash-latest,0.674,0.77,2341.1600947380066,0.7,0.6388095238095237,0.696875,0.14500000000000002,0.8649520199443488,0.7,0.7,0.07375000000000001,0.8976363326938047,0.7,3566.68,522.88,100
gemini-flash-latest,openai-large,SysC,SysC_Hybrid_FIXED_openai-large_gemini-flash-latest,0.66,0.866,1885.2006125450134,0.6625,0.6453125,0.678125,0.15,0.8509625355258024,0.6875,0.684375,0.07625000000000001,0.8826998925349556,0.7,2215.42,512.81,100
gemini-flash-latest,openai-large,SysD,SysD_v5_FIXED_openai-large_gemini-flash-latest,0.68,0.836,4521.311790943146,0.725,0.6953125,0.728125,0.16,0.933204896431438,0.7375,0.734375,0.08125,0.9649422534405913,0.75,3301.68,489.62,100
gemini-flash-latest,openai-small,SysA,SysA_Baseline_openai-small_gemini-flash-latest,0.614,0.7675,2311.23051404953,0.675,0.6095833333333334,0.634375,0.1325,0.8196618621532276,0.6375,0.675,0.07125000000000001,0.8562047400593433,0.675,3598.44,518.18,100
gemini-flash-latest,openai-small,SysC,SysC_Hybrid_FIXED_openai-small_gemini-flash-latest,0.6,0.8249,2105.244092941284,0.65,0.5900000000000001,0.6125,0.13,0.7875065850618747,0.625,0.6625,0.07250000000000001,0.8253815946833083,0.675,2264.11,513.58,100
gemini-flash-latest,openai-small,SysD,SysD_v5_FIXED_openai-small_gemini-flash-latest,0.665,0.86,4494.896340370178,0.7375,0.6504166666666666,0.6875,0.14500000000000002,0.8863887328308794,0.7,0.7375,0.08,0.9242637424523128,0.75,3279.64,494.58,100
gemini-flash-latest,openai-large,SysG,SysG_v4_GodMode_gemini-flash-latest_openai-large,0.562,0.8079999999999999,7181.3378739356995,0.7,0.6221856725146199,0.684375,0.14250000000000002,0.8996975457937102,0.6875,0.7,0.07375000000000001,0.9363251695029879,0.7,1054.86,549.87,100
gemini-flash-latest,openai-small,SysG,SysG_v4_GodMode_gemini-flash-latest_openai-small,0.544,0.835,4758.535928726196,0.7,0.573299460704352,0.609375,0.1275,0.7877969633314764,0.6125,0.6625,0.07,0.8405157190319044,0.6625,1053.27,552.26,100
gemini-flash-latest,bge-m3,SysG,SysG_v4_GodMode_gemini-flash-latest_bge-m3,0.469,0.831,6723.3502316474915,0.6,0.5311602177942539,0.571875,0.12,0.6066744907519729,0.575,0.571875,0.06,0.6111270805908232,0.575,1051.58,551.22,100
gemini-flash-latest,jina-embeddings-v3,SysG,SysG_v4_GodMode_gemini-flash-latest_jina-embeddings-v3,0.5820000000000001,0.826,9067.63367652893,0.7375,0.5983790165170132,0.659375,0.1375,0.7785564185472705,0.6625,0.659375,0.06875,0.7824997295070922,0.6625,1057.63,558.13,100
gpt-4o,bge-m3,SysA,SysA_Baseline_bge-m3_gpt-4o,0.59,0.877,895.8171963691711,0.55,0.5135416666666667,0.546875,0.11500000000000002,0.5501280030733999,0.55,0.546875,0.05750000000000001,0.5501280030733999,0.55,2825.5,509.17,100
gpt-4o,bge-m3,SysC,SysC_Hybrid_FIXED_bge-m3_gpt-4o,0.555,0.905,757.1496057510376,0.5375,0.509375,0.540625,0.11750000000000001,0.5464445695605347,0.55,0.540625,0.058750000000000004,0.5508634750664813,0.55,1679.44,504.04,100
gpt-4o,bge-m3,SysD,SysD_v5_FIXED_bge-m3_gpt-4o,0.57,0.8320000000000001,786.9641661643982,0.6,0.5635416666666667,0.603125,0.13,0.6263544353194643,0.6125,0.603125,0.065,0.6307733408254109,0.6125,1686.27,476.95,100
gpt-4o,jina-embeddings-v3,SysA,SysA_Baseline_jina-embeddings-v3_gpt-4o,0.6679999999999999,0.8059999999999999,1079.3611001968384,0.6875,0.634375,0.696875,0.14500000000000002,0.7688108926979091,0.7,0.696875,0.07250000000000001,0.788419644807173,0.7,2903.26,508.28,100
gpt-4o,jina-embeddings-v3,SysC,SysC_Hybrid_FIXED_jina-embeddings-v3_gpt-4o,0.659,0.9129999999999999,903.9990139007568,0.675,0.6259615384615385,0.675,0.14250000000000002,0.7513924080057375,0.675,0.675,0.07125000000000001,0.7755776978531264,0.675,1732.5,502.27,100
gpt-4o,jina-embeddings-v3,SysD,SysD_v5_FIXED_jina-embeddings-v3_gpt-4o,0.69,0.89,1003.225839138031,0.7375,0.6832532051282051,0.7375,0.155,0.8321688167887498,0.7375,0.7375,0.0775,0.8563541066361386,0.7375,1917.71,474.99,100
gpt-4o,openai-large,SysA,SysA_Baseline_openai-large_gpt-4o,0.69,0.847,1115.8842086791992,0.7,0.6388095238095237,0.696875,0.14500000000000002,0.8649520199443488,0.7,0.7,0.07375000000000001,0.8976363326938047,0.7,2969.07,512.27,100
gpt-4o,openai-large,SysC,SysC_Hybrid_FIXED_openai-large_gpt-4o,0.672,0.9005,839.9715900421143,0.6625,0.6453125,0.678125,0.15,0.8509625355258024,0.6875,0.684375,0.07625000000000001,0.8826998925349556,0.7,1790.19,505.75,100
gpt-4o,openai-large,SysD,SysD_v5_FIXED_openai-large_gpt-4o,0.7,0.889,998.7463164329529,0.75,0.7109375,0.753125,0.165,0.9595227722124843,0.7625,0.759375,0.08375,0.9952034401814591,0.775,1970.19,475.46,100
gpt-4o,openai-small,SysA,SysA_Baseline_openai-small_gpt-4o,0.66,0.846,1116.3155245780945,0.6625,0.5970833333333333,0.621875,0.13,0.8071618621532275,0.625,0.6625,0.07,0.8437047400593434,0.6625,2964.04,509.95,100
gpt-4o,openai-small,SysC,SysC_Hybrid_FIXED_openai-small_gpt-4o,0.638,0.9089,856.1899137496948,0.6375,0.5775,0.6,0.1275,0.7750065850618746,0.6125,0.65,0.07125000000000001,0.8128815946833082,0.6625,1775.69,505.03,100
gpt-4o,openai-small,SysD,SysD_v5_FIXED_openai-small_gpt-4o,0.6890000000000001,0.846,1002.6115393638611,0.725,0.6441666666666667,0.675,0.14250000000000002,0.8720298289011611,0.6875,0.725,0.07875000000000001,0.9099048385225947,0.7375,1945.59,475.94,100
gpt-4o,openai-large,SysG,SysG_v4_GodMode_gpt-4o_openai-large,0.6859999999999999,0.9142,2860.3045511245728,0.7625,0.6832769423558898,0.734375,0.15250000000000002,0.9561765965405989,0.7375,0.76875,0.08125,0.9946384139294864,0.775,1563.89,537.3,100
gpt-4o,openai-small,SysG,SysG_v4_GodMode_gpt-4o_openai-small,0.6579999999999999,0.904,2512.104752063751,0.7625,0.6882121388575193,0.721875,0.15,0.9013631949101913,0.725,0.75,0.07875000000000001,0.9399988190836297,0.75,1561.45,532.07,100
gpt-4o,bge-m3,SysG,SysG_v4_GodMode_gpt-4o_bge-m3,0.545,0.8820999999999999,2158.465836048126,0.6,0.5146022153128643,0.571875,0.12,0.5777569858986789,0.575,0.571875,0.06,0.5777569858986789,0.575,1577.59,532.4,100
gpt-4o,jina-embeddings-v3,SysG,SysG_v4_GodMode_gpt-4o_jina-embeddings-v3,0.677,0.8959999999999999,2235.675277709961,0.8,0.6881228070175439,0.746875,0.155,0.8536282531252131,0.75,0.746875,0.0775,0.8789638007848316,0.75,1568.23,535.57,100
gpt-4o-mini,bge-m3,SysA,SysA_Baseline_bge-m3_gpt-4o-mini,0.578,0.841,1273.6518573760986,0.55,0.5135416666666667,0.546875,0.11500000000000002,0.5501280030733999,0.55,0.546875,0.05750000000000001,0.5501280030733999,0.55,2834.53,521.45,100
gpt-4o-mini,bge-m3,SysC,SysC_Hybrid_FIXED_bge-m3_gpt-4o-mini,0.53,0.882,1065.8821249008179,0.5375,0.509375,0.540625,0.11750000000000001,0.5464445695605347,0.55,0.540625,0.058750000000000004,0.5508634750664813,0.55,1682.33,508.9,100
gpt-4o-mini,bge-m3,SysD,SysD_v5_FIXED_bge-m3_gpt-4o-mini,0.57,0.883,1006.3257169723511,0.5875,0.5510416666666667,0.590625,0.1275,0.6059678133998212,0.6,0.590625,0.06375,0.6103867189057677,0.6,1862.69,478.54,100
gpt-4o-mini,jina-embeddings-v3,SysA,SysA_Baseline_jina-embeddings-v3_gpt-4o-mini,0.655,0.8228,1503.2207942008972,0.6875,0.634375,0.696875,0.14500000000000002,0.7688108926979091,0.7,0.696875,0.07250000000000001,0.788419644807173,0.7,2909.78,522.25,100
gpt-4o-mini,jina-embeddings-v3,SysC,SysC_Hybrid_FIXED_jina-embeddings-v3_gpt-4o-mini,0.642,0.8115000000000001,1377.416934967041,0.675,0.6259615384615385,0.675,0.14250000000000002,0.7513924080057375,0.675,0.675,0.07125000000000001,0.7755776978531264,0.675,1739.06,516.31,100
gpt-4o-mini,jina-embeddings-v3,SysD,SysD_v5_FIXED_jina-embeddings-v3_gpt-4o-mini,0.63,0.8856,1130.9769535064697,0.725,0.6707532051282051,0.725,0.15250000000000002,0.8117821948691064,0.725,0.725,0.07625000000000001,0.8359674847164953,0.725,2040.94,476.67,100
gpt-4o-mini,openai-large,SysA,SysA_Baseline_openai-large_gpt-4o-mini,0.655,0.7859999999999999,1860.413522720337,0.7,0.6388095238095237,0.696875,0.14500000000000002,0.8649520199443488,0.7,0.7,0.07375000000000001,0.8976363326938047,0.7,2980.76,527.38,100
gpt-4o-mini,openai-large,SysC,SysC_Hybrid_FIXED_openai-large_gpt-4o-mini,0.6459999999999999,0.883,1355.7999634742737,0.6625,0.6453125,0.678125,0.15,0.8509625355258024,0.6875,0.684375,0.07625000000000001,0.8826998925349556,0.7,1795.2,515.56,100
gpt-4o-mini,openai-large,SysD,SysD_v5_FIXED_openai-large_gpt-4o-mini,0.655,0.8554999999999999,1129.9034786224365,0.75,0.6994791666666667,0.753125,0.165,0.94327593715621,0.7625,0.759375,0.08375,0.9750132941653634,0.775,2078.4,479.47,100
gpt-4o-mini,openai-small,SysA,SysA_Baseline_openai-small_gpt-4o-mini,0.649,0.799,1527.4215507507324,0.675,0.6095833333333334,0.634375,0.1325,0.8196618621532276,0.6375,0.675,0.07125000000000001,0.8562047400593433,0.675,2970.77,518.89,100
gpt-4o-mini,openai-small,SysC,SysC_Hybrid_FIXED_openai-small_gpt-4o-mini,0.65,0.871,1217.107470035553,0.65,0.5900000000000001,0.6125,0.13,0.7875065850618747,0.625,0.6625,0.07250000000000001,0.8253815946833083,0.675,1781.34,514.57,100
gpt-4o-mini,openai-small,SysD,SysD_v5_FIXED_openai-small_gpt-4o-mini,0.667,0.865,1006.3598799705505,0.7375,0.6566666666666666,0.6875,0.14500000000000002,0.8831154889915929,0.7,0.7375,0.08,0.9254430884518767,0.75,2063.78,477.45,100
gpt-4o-mini,openai-large,SysG,SysG_v4_GodMode_gpt-4o-mini_openai-large,0.698,0.8725,3278.1633377075195,0.7625,0.6830208333333333,0.721875,0.15,0.9624782087536541,0.725,0.75625,0.08,1.0013821572754806,0.7625,1587.85,545.49,100
gpt-4o-mini,openai-small,SysG,SysG_v4_GodMode_gpt-4o-mini_openai-small,0.657,0.8682,3205.1981353759766,0.7625,0.6578292332850744,0.696875,0.14500000000000002,0.8650552528096845,0.7,0.725,0.07625000000000001,0.9082930314387992,0.725,1593.5,547.16,100
gpt-4o-mini,bge-m3,SysG,SysG_v4_GodMode_gpt-4o-mini_bge-m3,0.57,0.8734999999999999,2803.106083869934,0.625,0.5238929649758454,0.596875,0.125,0.5983658898283971,0.6,0.596875,0.0625,0.5983658898283971,0.6,1622.24,546.98,100
